station,valid, tmpf ,  dwpf ,  relh ,  drct ,  sped ,  mslp ,  p01i ,  vsby ,  presentwx
CMI,2016-01-05 18:53,28.04,21.02,74.61,150.00,9.2,1030.80,0.00,10.00,M
CMI,2016-01-05 19:53,28.04,21.02,74.61,150.00,9.2,1030.50,0.00,10.00,M
CMI,2016-01-05 20:53,26.96,19.94,74.50,140.00,9.2,1030.00,0.00,10.00,M
CMI,2016-01-05 21:53,26.06,19.94,77.32,150.00,6.9,1029.70,0.00,10.00,M
CMI,2016-01-05 22:53,24.98,19.04,77.82,170.00,6.9,1029.70,0.00,10.00,M
CMI,2016-01-05 23:53,24.08,17.06,74.20,140.00,5.8,1029.60,0.00,10.00,M
CMI,2016-01-06 00:53,24.08,17.96,77.14,150.00,5.8,1029.30,0.00,10.00,M
CMI,2016-01-06 01:53,21.92,19.04,88.47,130.00,6.9,1029.20,0.00,10.00,M
CMI,2016-01-06 02:53,24.98,17.96,74.29,160.00,8.1,1029.10,0.00,10.00,M
CMI,2016-01-06 03:53,24.08,17.96,77.14,150.00,6.9,1028.60,0.00,10.00,M
CMI,2016-01-06 04:53,21.92,17.96,84.47,140.00,6.9,1028.40,0.00,10.00,M
CMI,2016-01-06 05:53,24.08,17.96,77.14,150.00,6.9,1028.40,0.00,10.00,M
CMI,2016-01-06 06:53,24.08,19.04,80.80,150.00,6.9,1028.70,0.00,10.00,M
CMI,2016-01-06 07:53,24.98,19.04,77.82,140.00,9.2,1028.30,0.00,10.00,M
CMI,2016-01-06 08:53,28.94,21.92,74.70,160.00,12.7,1028.20,0.00,10.00,M
CMI,2016-01-06 09:53,32.00,24.08,72.24,170.00,13.8,1028.50,0.00,10.00,M
CMI,2016-01-06 10:53,35.06,26.06,69.40,170.00,13.8,1027.80,0.00,10.00,M
CMI,2016-01-06 11:53,37.04,24.98,61.35,170.00,13.8,1026.10,0.00,10.00,M
CMI,2016-01-06 12:53,37.94,26.06,61.94,170.00,11.5,1025.30,0.00,10.00,M
CMI,2016-01-06 13:53,39.92,24.98,54.81,180.00,15.0,1024.40,0.00,10.00,M
CMI,2016-01-06 14:53,39.02,26.06,59.37,170.00,12.7,1024.10,0.00,10.00,M
CMI,2016-01-06 15:53,37.94,26.96,64.29,160.00,6.9,1024.10,0.00,10.00,M
CMI,2016-01-06 16:53,35.06,26.06,69.40,140.00,8.1,1024.20,0.00,10.00,M
CMI,2016-01-06 17:53,35.06,26.06,69.40,140.00,6.9,1024.00,0.00,10.00,M
CMI,2016-01-06 18:53,32.00,26.06,78.45,150.00,5.8,1024.40,0.00,10.00,M
CMI,2016-01-06 19:53,33.08,26.96,77.96,130.00,6.9,1024.20,0.00,10.00,M
CMI,2016-01-06 20:53,33.08,26.96,77.96,140.00,5.8,1023.90,0.00,10.00,M
CMI,2016-01-06 21:53,33.98,26.06,72.45,140.00,8.1,1023.60,0.00,10.00,M
CMI,2016-01-06 22:53,33.98,24.98,69.28,150.00,8.1,1023.20,0.00,10.00,M
CMI,2016-01-06 23:53,35.06,23.00,61.08,160.00,9.2,1022.60,0.00,10.00,M
CMI,2016-01-07 00:53,35.06,23.00,61.08,160.00,9.2,1021.90,0.00,10.00,M
